Date,Close/Last,Volume,Open,High,Low
07/01/2024,$72.87,3548532,$72.73,$73.16,$72.525
06/28/2024,$72.18,5230189,$71.98,$72.2989,$71.65
06/27/2024,$71.44,3650737,$71.67,$71.79,$71.15
06/26/2024,$70.86,4847041,$70.87,$71.02,$70.48
06/25/2024,$71.55,2562124,$71.58,$71.67,$71.22
06/24/2024,$71.42,3661056,$70.66,$71.595,$70.55
06/21/2024,$69.94,3306907,$70.11,$70.33,$69.79
06/20/2024,$70.03,3182240,$70.00,$70.58,$69.92
06/18/2024,$69.53,4162556,$69.55,$69.89,$69.455
06/17/2024,$69.15,5206625,$69.42,$69.47,$68.945
06/14/2024,$69.00,4109381,$69.35,$69.42,$68.56
06/13/2024,$69.76,3555578,$70.28,$70.28,$69.55
06/12/2024,$70.41,4147269,$71.27,$71.31,$70.23
06/11/2024,$70.29,3866629,$70.21,$70.33,$69.88
06/10/2024,$70.64,2629620,$69.96,$70.825,$69.77
06/07/2024,$69.45,2884229,$70.00,$70.33,$69.415
06/06/2024,$70.25,2759238,$69.93,$70.42,$69.80
06/05/2024,$69.81,2345469,$70.31,$70.34,$69.7001
06/04/2024,$70.09,3608313,$69.94,$70.14,$69.21
06/03/2024,$70.81,3495760,$72.64,$72.64,$70.78
05/31/2024,$72.78,3739175,$71.89,$72.82,$71.75
05/30/2024,$71.45,4123137,$71.19,$71.67,$71.16
05/29/2024,$71.45,3074933,$71.94,$71.95,$71.28
05/28/2024,$71.74,3078948,$71.36,$71.82,$71.04
05/24/2024,$70.82,2352149,$70.92,$71.15,$70.65
05/23/2024,$70.37,3029329,$71.07,$71.36,$70.1581
05/22/2024,$70.49,3504169,$70.90,$70.90,$70.19
05/21/2024,$71.40,2870551,$71.54,$71.85,$71.31
05/20/2024,$71.59,3816758,$71.64,$71.855,$71.475
05/17/2024,$71.92,4790547,$71.40,$71.99,$71.26
05/16/2024,$71.74,5038094,$72.19,$72.33,$71.72
05/15/2024,$73.30,4724607,$73.25,$73.495,$72.33
05/14/2024,$74.06,3327760,$73.87,$74.08,$73.38
05/13/2024,$74.17,3495386,$74.29,$74.605,$73.91
05/10/2024,$74.09,4451030,$74.15,$74.26,$73.88
05/09/2024,$73.55,4173306,$72.94,$73.62,$72.94
05/08/2024,$72.63,3138203,$72.30,$72.74,$72.065
05/07/2024,$72.97,3254813,$73.44,$73.56,$72.85
05/06/2024,$72.78,3585670,$72.79,$73.135,$72.62
05/03/2024,$72.37,4407390,$72.51,$72.57,$71.95
05/02/2024,$72.11,5134479,$72.12,$72.72,$71.98
05/01/2024,$70.95,4957347,$71.40,$71.55,$70.58
04/30/2024,$71.66,4276821,$72.92,$72.96,$71.61
04/29/2024,$73.12,3294253,$73.05,$73.305,$72.715
04/26/2024,$73.27,3880010,$73.17,$73.385,$72.68
04/25/2024,$73.27,4190457,$72.90,$73.50,$72.53
04/24/2024,$73.13,4563871,$73.08,$73.21,$72.59
04/23/2024,$72.77,3239783,$72.36,$72.875,$72.16
04/22/2024,$72.39,3634539,$71.99,$72.78,$71.5601
04/19/2024,$72.07,5567990,$70.73,$72.085,$70.65
04/18/2024,$71.03,3862612,$71.31,$71.5475,$70.77
04/17/2024,$71.14,4047598,$71.21,$71.72,$70.62
04/16/2024,$71.06,5079860,$71.54,$71.78,$70.84
04/15/2024,$71.94,7277935,$72.52,$72.715,$71.665
04/12/2024,$72.44,7385441,$73.45,$73.94,$72.275
04/11/2024,$72.66,4996448,$73.06,$73.09,$71.68
04/10/2024,$72.65,4666561,$72.30,$72.66,$71.92
04/09/2024,$71.84,4663489,$72.50,$72.72,$71.73
04/08/2024,$71.82,5096694,$71.40,$72.03,$71.19
04/05/2024,$71.29,4968577,$70.49,$71.41,$69.84
04/04/2024,$70.25,5377096,$70.49,$70.67,$69.99
04/03/2024,$70.09,6214206,$69.44,$70.12,$69.27
04/02/2024,$69.76,8048802,$68.63,$69.78,$68.535
04/01/2024,$67.92,3104385,$67.04,$68.01,$66.591
03/28/2024,$67.04,2876269,$66.86,$67.2375,$66.86
03/27/2024,$66.76,2813776,$66.39,$66.81,$66.29
03/26/2024,$66.76,3678928,$67.78,$67.79,$66.76
03/25/2024,$67.42,2918439,$67.21,$67.72,$67.21
03/22/2024,$66.92,2962685,$66.97,$66.98,$66.595
03/21/2024,$66.85,4038391,$67.25,$67.40,$66.84
03/20/2024,$66.93,3904170,$66.20,$67.06,$66.10
03/19/2024,$66.47,2776339,$66.28,$66.74,$66.25
03/18/2024,$66.14,3716208,$66.06,$66.285,$65.55
03/15/2024,$65.86,4216901,$65.68,$65.99,$65.445
03/14/2024,$65.78,4606613,$65.52,$65.78,$65.03
03/13/2024,$65.71,4646860,$65.00,$65.765,$64.98
03/12/2024,$64.51,3379014,$64.64,$64.92,$64.35
03/11/2024,$64.29,3219491,$64.01,$64.35,$63.715
03/08/2024,$64.32,2200250,$64.57,$64.64,$64.05
03/07/2024,$64.25,4214556,$63.93,$64.40,$63.81
03/06/2024,$63.85,4168220,$64.18,$64.3198,$63.77
03/05/2024,$62.87,3776959,$62.77,$63.2775,$62.6899
03/04/2024,$62.85,3194123,$63.56,$63.68,$62.84
03/01/2024,$63.56,4818352,$63.39,$63.90,$63.19
02/29/2024,$62.83,2914810,$63.08,$63.34,$62.69
02/28/2024,$62.58,4095859,$63.21,$63.46,$62.545
02/27/2024,$63.40,3225053,$63.66,$63.82,$63.33
02/26/2024,$63.38,6115259,$63.19,$63.52,$63.02
02/23/2024,$63.93,3176388,$63.84,$64.04,$63.385
02/22/2024,$64.13,5172043,$64.34,$64.465,$63.81
02/21/2024,$64.38,6747228,$63.76,$64.39,$63.60
02/20/2024,$63.62,7343288,$63.94,$63.94,$63.30
02/16/2024,$63.57,3977906,$63.60,$63.905,$63.4488
02/15/2024,$63.58,5497231,$62.06,$63.625,$62.03
02/14/2024,$63.43,3777604,$63.71,$63.975,$63.28
02/13/2024,$63.42,4707926,$64.12,$64.20,$63.13
02/12/2024,$64.15,4204223,$63.97,$64.255,$63.6501
02/09/2024,$63.74,3620567,$63.88,$64.17,$63.565
02/08/2024,$63.56,4720812,$63.25,$63.73,$63.22
02/07/2024,$63.56,4578603,$63.29,$63.62,$62.90
02/06/2024,$63.65,5139418,$63.12,$63.97,$63.08
02/05/2024,$62.98,4426312,$63.00,$63.165,$62.56
02/02/2024,$63.30,5547851,$63.75,$63.87,$63.005
02/01/2024,$64.08,10950790,$64.25,$64.98,$63.83
01/31/2024,$62.91,6776727,$63.57,$63.755,$62.80
01/30/2024,$63.89,4431459,$63.24,$64.05,$63.00
01/29/2024,$63.41,4660680,$63.22,$63.41,$62.71
01/26/2024,$63.17,5348091,$62.70,$63.23,$62.47
01/25/2024,$62.49,5787649,$61.81,$62.51,$61.40
01/24/2024,$61.46,5382358,$61.43,$61.70,$61.26
01/23/2024,$61.15,3955206,$60.77,$61.17,$60.74
01/22/2024,$61.18,4857336,$60.69,$61.29,$60.435
01/19/2024,$61.11,3884440,$61.28,$61.29,$60.75
01/18/2024,$61.35,6001278,$61.21,$61.39,$60.755
01/17/2024,$61.04,5755790,$60.64,$61.09,$60.337
01/16/2024,$61.76,5960886,$62.92,$63.08,$61.75
01/12/2024,$63.80,4422731,$64.10,$64.265,$63.495
01/11/2024,$63.20,6864320,$63.78,$63.79,$62.76
01/10/2024,$63.07,5538011,$63.70,$63.765,$62.895
01/09/2024,$63.90,4761449,$64.44,$64.49,$63.805
01/08/2024,$64.62,8500321,$64.91,$64.91,$64.175
01/05/2024,$65.73,6441927,$66.60,$66.77,$65.58
01/04/2024,$66.36,3420027,$67.33,$67.65,$66.32
01/03/2024,$66.93,4389824,$66.09,$67.09,$65.94
01/02/2024,$65.91,4934145,$65.86,$66.42,$65.67
12/29/2023,$65.80,3041426,$66.09,$66.12,$65.66
12/28/2023,$65.45,3227686,$66.04,$66.20,$65.445
12/27/2023,$66.13,3402886,$66.20,$66.36,$65.957
12/26/2023,$66.11,2649997,$65.92,$66.36,$65.85
12/22/2023,$65.81,3487230,$66.02,$66.205,$65.64
12/21/2023,$65.65,8997217,$65.57,$65.96,$65.305
12/20/2023,$65.06,7623867,$66.02,$66.36,$65.06
12/19/2023,$65.50,4870480,$65.37,$65.595,$65.15
12/18/2023,$64.71,4674660,$65.19,$65.37,$64.68
12/15/2023,$64.08,6033068,$64.70,$64.84,$64.05
12/14/2023,$65.49,6924106,$65.06,$65.61,$64.895
12/13/2023,$64.22,5627025,$63.62,$64.23,$63.08
12/12/2023,$63.70,5417771,$63.72,$63.96,$63.415
12/11/2023,$63.88,4608888,$64.13,$64.49,$63.795
12/08/2023,$64.14,5831511,$63.58,$64.275,$63.53
12/07/2023,$63.27,5329522,$63.39,$63.65,$63.0501
12/06/2023,$63.05,6464874,$64.11,$64.14,$63.03
12/05/2023,$64.16,6521106,$64.68,$64.905,$64.14
12/04/2023,$64.89,6188176,$64.86,$65.22,$64.61
12/01/2023,$65.43,6554278,$65.71,$66.24,$65.395
11/30/2023,$65.80,6604567,$66.49,$67.1379,$65.475
11/29/2023,$65.85,7969490,$66.04,$66.09,$65.53
11/28/2023,$66.00,3074245,$66.20,$66.50,$65.915
11/27/2023,$65.81,3559317,$66.16,$66.27,$65.665
11/24/2023,$65.99,2036330,$66.16,$66.65,$65.97
11/22/2023,$65.42,6170963,$64.47,$65.535,$64.19
11/21/2023,$66.52,3786288,$66.61,$66.785,$66.345
11/20/2023,$66.68,4445579,$66.60,$67.23,$66.455
11/17/2023,$65.87,4783860,$65.28,$66.21,$65.28
11/16/2023,$64.60,5498582,$64.66,$64.82,$64.20
11/15/2023,$65.95,3920916,$66.41,$66.7914,$65.94
11/14/2023,$66.37,3706054,$66.03,$66.63,$65.98
11/13/2023,$66.04,3929212,$65.59,$66.27,$65.475
11/10/2023,$65.60,4183932,$65.40,$65.675,$64.82
11/09/2023,$64.81,4520192,$64.69,$65.395,$64.685
11/08/2023,$64.42,6552348,$64.91,$65.15,$64.30
11/07/2023,$65.49,4288852,$65.89,$65.96,$65.305
11/06/2023,$66.83,4441875,$67.37,$67.45,$66.80
11/03/2023,$66.14,6737517,$66.82,$66.97,$65.925
11/02/2023,$68.55,6577759,$67.39,$68.74,$67.225
11/01/2023,$65.39,6488388,$65.51,$66.06,$65.155
10/31/2023,$65.14,8911754,$65.20,$65.815,$64.65
10/30/2023,$66.09,5004480,$66.55,$66.7479,$65.8932
10/27/2023,$66.36,6047687,$67.31,$67.43,$66.09
10/26/2023,$66.22,6078993,$66.35,$66.41,$65.765
10/25/2023,$66.86,4833452,$66.89,$67.18,$66.70
10/24/2023,$66.67,6852836,$67.27,$67.305,$66.535
10/23/2023,$67.07,9927224,$67.69,$67.72,$66.94
10/20/2023,$67.05,5387530,$67.71,$67.995,$67.02
10/19/2023,$68.10,6302041,$67.76,$68.41,$67.44
